Region,SecurityGroupId,SecurityGroupName,Description,VpcId,RuleType,Protocol,PortRange,FromPort,ToPort,CidrIp,RuleDescription,Tags
ap-south-1,sg-0f64663330085f756,default,default VPC security group,vpc-0964a7d55dbe66de8,Outbound,-1,All,,,0.0.0.0/0,,{}
eu-north-1,sg-06fe78bb3db914645,default,default VPC security group,vpc-02e2d75fe6d3d4d1f,Outbound,-1,All,,,0.0.0.0/0,,{}
eu-west-3,sg-0694600a412d06ac2,default,default VPC security group,vpc-05d9cda0c7698eb37,Outbound,-1,All,,,0.0.0.0/0,,{}
eu-west-2,sg-05a730c4376e57e6c,default,default VPC security group,vpc-0b18f6199907956de,Outbound,-1,All,,,0.0.0.0/0,,{}
eu-west-1,sg-07e56ff0e250e6545,default,default VPC security group,vpc-064f7ca3f19cb9fe7,Outbound,-1,All,,,0.0.0.0/0,,{}
ap-northeast-3,sg-0caa3f6c9cbb4cb84,default,default VPC security group,vpc-0091d60dae229c422,Outbound,-1,All,,,0.0.0.0/0,,{}
ap-northeast-2,sg-04468e282e041da3c,default,default VPC security group,vpc-05a48b566f93e684b,Outbound,-1,All,,,0.0.0.0/0,,{}
ap-northeast-1,sg-0abae8f73c17c9cba,default,default VPC security group,vpc-058ff67f45a301cb5,Outbound,-1,All,,,0.0.0.0/0,,{}
ap-northeast-1,sg-04987da2342476943,k8s-elb-adafe3081233c4d9295d731b6358118d,Security group for Kubernetes ELB adafe3081233c4d9295d731b6358118d (default/my-service1),vpc-0c27740b917961e42,Inbound,tcp,8080,8080,8080,0.0.0.0/0,,"{""kubernetes.io/cluster/EKSDemoCluster"": ""owned""}"
ap-northeast-1,sg-04987da2342476943,k8s-elb-adafe3081233c4d9295d731b6358118d,Security group for Kubernetes ELB adafe3081233c4d9295d731b6358118d (default/my-service1),vpc-0c27740b917961e42,Inbound,icmp,3-4,3,4,0.0.0.0/0,,"{""kubernetes.io/cluster/EKSDemoCluster"": ""owned""}"
ap-northeast-1,sg-04987da2342476943,k8s-elb-adafe3081233c4d9295d731b6358118d,Security group for Kubernetes ELB adafe3081233c4d9295d731b6358118d (default/my-service1),vpc-0c27740b917961e42,Outbound,-1,All,,,0.0.0.0/0,,"{""kubernetes.io/cluster/EKSDemoCluster"": ""owned""}"
